,id,Date,Gender,venue,Team1,Team2,Toss_winner,decision_toss,Match_winner,player_of_match
403,1199530,25-10-2019,male,Tolerance Oval,Ireland,Jersey,Ireland,field,Ireland,['MR Adair']
404,1199531,25-10-2019,male,Dubai International Cricket Stadium,Kenya,Namibia,Namibia,bat,Namibia,['MG Erasmus']
405,1199532,25-10-2019,male,Sheikh Zayed Stadium,Canada,Oman,Canada,bat,Oman,['Jatinder Singh']
406,1199533,26-10-2019,male,Sheikh Zayed Stadium,Ireland,Nigeria,Nigeria,bat,Ireland,['CA Young']
407,1199534,26-10-2019,male,Dubai International Cricket Stadium,Bermuda,Netherlands,Netherlands,bat,Netherlands,['CN Ackermann']
408,1199535,26-10-2019,male,Dubai International Cricket Stadium,Namibia,Singapore,Singapore,field,Namibia,['MG Erasmus']
409,1199536,27-10-2019,male,Dubai International Cricket Stadium,Kenya,Papua New Guinea,Kenya,field,Papua New Guinea,['N Vanua']
410,1199537,27-10-2019,male,Tolerance Oval,Hong Kong,Nigeria,Nigeria,bat,Hong Kong,['Mohammad Ghazanfar']
411,1199538,27-10-2019,male,Sheikh Zayed Stadium,Jersey,Oman,Oman,field,Jersey,['Mohammad Ghazanfar']
412,1199539,27-10-2019,male,Dubai International Cricket Stadium,Netherlands,Scotland,Netherlands,field,Netherlands,['PM Seelaar']
413,1199540,27-10-2019,male,Sheikh Zayed Stadium,United Arab Emirates,Canada,Canada,field,United Arab Emirates,['Muhammad Usman']
414,1199541,29-10-2019,male,Dubai International Cricket Stadium,United Arab Emirates,Netherlands,United Arab Emirates,bat,Netherlands,['BD Glover']
415,1199542,29-10-2019,male,Dubai International Cricket Stadium,Namibia,Oman,Namibia,bat,Namibia,['JJ Smit']
416,1199543,30-10-2019,male,Dubai International Cricket Stadium,United Arab Emirates,Scotland,Scotland,bat,Scotland,['HG Munsey']
417,1199544,30-10-2019,male,Dubai International Cricket Stadium,Hong Kong,Oman,Oman,bat,Oman,['Jatinder Singh']
418,1199545,31-10-2019,male,ICC Academy,Oman,Scotland,Oman,bat,Scotland,['MH Cross']
419,1199546,01-11-2019,male,Dubai International Cricket Stadium,Ireland,Netherlands,Ireland,field,Netherlands,['RE van der Merwe']
420,1199547,01-11-2019,male,Dubai International Cricket Stadium,Namibia,Papua New Guinea,Papua New Guinea,bat,Papua New Guinea,['N Vanua']
421,1199548,02-11-2019,male,Dubai International Cricket Stadium,Ireland,Namibia,Ireland,bat,Ireland,['Simi Singh']
422,1199549,02-11-2019,male,Dubai International Cricket Stadium,Netherlands,Papua New Guinea,Papua New Guinea,bat,Netherlands,['BD Glover']
423,1200425,16-09-2019,male,"The Village, Malahide",Netherlands,Scotland,Netherlands,field,Scotland,['HG Munsey']
424,1200426,17-09-2019,male,"The Village, Malahide",Ireland,Scotland,Scotland,bat,Ireland,['A Balbirnie']
425,1200427,18-09-2019,male,"The Village, Malahide",Ireland,Netherlands,Ireland,bat,Netherlands,['BN Cooper']
426,1200428,19-09-2019,male,"The Village, Malahide",Netherlands,Scotland,Netherlands,bat,Scotland,['BN Cooper']
427,1201668,25-10-2019,male,La Manga Club Bottom Ground,Spain,Portugal,Spain,field,Spain,['BN Cooper']
428,1201669,26-10-2019,male,La Manga Club Bottom Ground,Gibraltar,Portugal,Gibraltar,bat,Portugal,['BN Cooper']
429,1201670,26-10-2019,male,La Manga Club Bottom Ground,Spain,Gibraltar,Spain,field,Spain,['BN Cooper']
430,1201671,26-10-2019,male,La Manga Club Bottom Ground,Spain,Portugal,Portugal,field,Spain,['BN Cooper']
431,1201673,27-10-2019,male,La Manga Club Bottom Ground,Spain,Gibraltar,Spain,field,Spain,['BN Cooper']
432,1201680,27-09-2019,male,Indian Association Ground,Nepal,Zimbabwe,Nepal,bat,Zimbabwe,['R Mutumbami']
433,1201681,28-09-2019,male,Indian Association Ground,Singapore,Nepal,Singapore,bat,Nepal,['P Khadka']
434,1201682,29-09-2019,male,Indian Association Ground,Singapore,Zimbabwe,Singapore,bat,Singapore,['SC Williams']
435,1201683,01-10-2019,male,Indian Association Ground,Nepal,Zimbabwe,Nepal,field,Zimbabwe,['SC Williams']
436,1201685,03-10-2019,male,Indian Association Ground,Singapore,Zimbabwe,Zimbabwe,field,Zimbabwe,['PJ Moor']
437,1202007,29-09-2019,male,Kinrara Academy Oval,Malaysia,Vanuatu,Vanuatu,bat,Vanuatu,['J Rasu']
438,1202008,01-10-2019,male,Kinrara Academy Oval,Malaysia,Vanuatu,Vanuatu,bat,Vanuatu,['PK Matautaava']
